obs,action
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.01, 0.01, 0.02, 0.01, 0.0, 0.0, 0.03, 0.02, 0.01, 0.3333333333333333, 0.6670791926673351, 0.5741972090901618, 0.5137859182481895, 0.5334420781397552, 0.9425639046717698]","[9, 4, 0, 2, 8, 5, 11, 10, 3, 1, 6, 7, 12]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.01, 0.01, 0.02, 0.01, 0.0, 0.0, 0.02, 0.02, 0.01, 0.3333333333333333, 0.97702462465368, 0.9053704528334083, 0.5370037572518004, 0.9582512133617559, 0.9923370072214425]","[9, 4, 0, 2, 12, 8, 5, 11, 3, 1, 6, 7, 10]"
"[0.5, 0.0, 0.02, 0.0, 0.03, 0.01, 0.01, 0.03, 0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.5, 0.6468878012158399, 0.8778676321742966, 0.8249868716459491, 0.9119534260339833, 0.9352163440296215]","[9, 4, 0, 2, 8, 12, 5, 11, 10, 3, 1, 6, 7]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.01, 0.01, 0.03, 0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.5, 0.975586818437795, 0.8725095439673487, 0.7855429895793145, 0.838423750107662, 0.8957724619629869]","[4, 7, 0, 11, 10, 5, 2, 8, 9, 12, 3, 6, 1]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.6666666666666666, 0.6071446680609872, 0.8199855200082038, 0.7097560476245315, 0.7626368081528789, 0.7967226020125656]","[4, 7, 0, 5, 11, 10, 2, 8, 9, 1, 12, 3, 6]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.02, 0.01, 0.03, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.0, 0.6331035508665982, 0.665316183853372, 0.5866769155526259, 0.698924368145336, 0.8485005933986196]","[7, 0, 5, 11, 10, 2, 8, 9, 4, 6, 1, 12, 3]"
"[0.5, 0.01, 0.01, 0.0, 0.03, 0.02, 0.02, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.0, 0.9154541655611771, 0.5527948417892765, 0.6314341100900225, 0.6650422943819865, 0.8146185196352701]","[10, 7, 5, 4, 9, 2, 8, 1, 11, 3, 12, 0, 6]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.02, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.16666666666666666, 0.5844817164244489, 0.5847589882783939, 0.5, 0.5511508039864299, 0.7343352135316775]","[10, 7, 4, 9, 2, 8, 6, 1, 11, 3, 12, 5, 0]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.03, 0.16666666666666666, 0.8962244662469061, 0.6825908700213051, 0.513741674007735, 0.547349858299699, 0.6969260835529826]","[7, 10, 0, 4, 9, 2, 8, 6, 1, 11, 12, 3, 5]"
"[0.5, 0.0, 0.02, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.3333333333333333, 0.5182597962032341, 0.6222818439582233, 0.6079466304265457, 0.6498250142378924, 0.6905287992993431]","[7, 5, 0, 4, 9, 2, 8, 6, 1, 11, 10, 3, 12]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.03, 0.0, 0.0, 0.01, 0.03, 0.04, 0.02, 0.3333333333333333, 0.8138724192322163, 0.6143514994744146, 0.5724731156630679, 0.5868083291947453, 0.6550552845358653]","[7, 5, 0, 4, 9, 2, 8, 6, 11, 10, 3, 12, 1]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.03, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.5, 0.5284555909525844, 0.569305303929421, 0.5286015188679705, 0.6942137134676528, 0.970493175379209]","[7, 5, 4, 0, 9, 2, 8, 1, 10, 3, 12, 6, 11]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.5, 0.8056343186171896, 0.6558753430709772, 0.5360438566096684, 0.9372317280594564, 0.9856309347230757]","[7, 5, 0, 4, 9, 2, 8, 1, 11, 10, 3, 12, 6]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.6666666666666666, 0.4353490286657215, 0.8616659628536325, 0.5803095778651532, 0.6809108580570166, 0.8987929801681389]","[7, 5, 0, 4, 9, 2, 8, 6, 1, 11, 10, 12, 3]"
