obs,action
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.7884166200677404, 0.5, 0.6004070094791314, 0.6291050205599822, 0.7034158731516255]","[10, 12, 4, 0, 1, 7, 6, 2, 9, 8, 11, 3, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.4027450010024343, 0.5, 0.5266876037669681, 0.5553856148478189, 0.6296964674394622]","[10, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.8039163881110957, 0.5, 0.5072450483947796, 0.5815559009864227, 0.626050696236216]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.5, 0.4130347410455215, 0.5, 0.5084616986342917, 0.552956493884085, 0.6201440955532962]","[12, 3, 4, 0, 1, 5, 7, 2, 9, 8, 11, 10, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.7123275592692456, 0.5, 0.5170413556972381, 0.5842289573664493, 0.6382761245024084]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.984605898917683, 0.5515555566086369, 0.5, 0.605602723744596, 0.9006413494377739]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.7208439763256441, 0.5, 0.5172541544556407, 0.8122927801488186, 0.8168923782701677]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.04, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.9869717028173, 0.7803574529698198, 0.784957051091169, 0.8804679219149512, 0.8828782411886096]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.03, 0.04, 0.01, 0.12, 0.11, 0.08, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.6585554016731597, 0.5, 0.5, 0.5527155765174211, 0.559877878052248]","[6, 11, 12, 10, 0, 2, 1, 5, 9, 8, 3, 4, 7]"
"[0.5, 0.03, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.0, 0.975941204232034, 0.5, 0.5146292802103563, 0.521791581745183, 0.8767272720605434]","[6, 11, 10, 12, 2, 1, 7, 3, 4, 9, 8, 0, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.6598897222582613, 0.5, 0.6004441479186062, 0.6144975241620705, 0.7946534498973961]","[10, 12, 3, 2, 1, 7, 4, 5, 9, 6, 8, 11, 0]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.39804839000832243, 0.5, 0.5118651077885988, 0.5218037297953014, 0.7060744097673887]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.6826739475986869, 0.5, 0.6426055109050322, 0.671919342856545, 0.8806585014567645]","[11, 10, 12, 0, 2, 1, 7, 5, 4, 9, 6, 8, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.5, 0.40049834823897373, 0.5, 0.5564665828281977, 0.5857804147797105, 0.7945195733799301]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 9, 6, 8, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.5, 0.687367053524819, 0.5220423381938963, 0.5513561701454092, 0.6318201858932116, 0.7600953287456287]","[11, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.02, 0.07, 0.12, 0.12, 0.07, 0.5, 0.9608107786637751, 0.5089703023202492, 0.5, 0.5990069388765369, 0.7272820817289539]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.04, 0.01, 0.07, 0.12, 0.12, 0.07, 0.6666666666666666, 0.618017744191396, 0.5994411810627025, 0.5, 0.5163056930779749, 0.6484172458656394]","[11, 10, 12, 0, 2, 1, 3, 7, 4, 5, 6, 9, 8]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.04, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.9513429330537898, 0.9154203271491861, 0.5594421583992153, 0.5988456023936669, 0.8793409130593318]","[11, 10, 12, 3, 0, 1, 2, 5, 6, 8, 4, 7, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.04, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.6987676355788608, 0.5, 0.5496499487563233, 0.5857293628461775, 0.6280786020257619]","[11, 10, 12, 0, 3, 2, 1, 5, 9, 6, 8, 7, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.3687160817827741, 0.5, 0.5, 0.5476847884812923, 0.6482663686798332]","[11, 10, 12, 0, 2, 1, 3, 5, 4, 9, 6, 8, 7]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.6389301287927083, 0.5, 0.5152591028401002, 0.6158406830386411, 0.9229936641714812]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.3631603348189856, 0.5, 0.5289330583154879, 0.5913983922028637, 0.8360860394483279]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.3333333333333333, 0.7844472784831851, 0.5, 0.5, 0.5408439589631598, 0.785531606208624]","[4, 10, 12, 0, 2, 7, 1, 5, 3, 9, 8, 6, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.08, 0.5, 0.41403202203127876, 0.5, 0.6479815820731346, 0.6994717596794908, 0.839263399141837]","[4, 11, 12, 0, 2, 7, 1, 5, 3, 9, 8, 6, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.08, 0.5, 0.6868885348347552, 0.6152388005367174, 0.6667289781430736, 0.8065206176054198, 0.8631464518482608]","[4, 11, 10, 0, 2, 1, 7, 5, 9, 6, 8, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.9709877727482308, 0.6326370695934566, 0.5811468919871003, 0.7724287090558027, 0.8290545432986437]","[11, 10, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.6666666666666666, 0.5870159765859171, 0.6985053245952804, 0.5072235075265781, 0.5587136851329342, 0.7551311588381213]","[10, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.0, 0.411337883195453, 0.5656261880526836, 0.5, 0.5091426812278951, 0.5789540410696281]","[10, 12, 3, 0, 1, 2, 4, 7, 9, 6, 8, 11, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.0, 0.6826301803562274, 0.5, 0.5, 0.5, 0.5463989654103352]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.02, 0.06, 0.12, 0.13, 0.07, 0.0, 0.9593102116061042, 0.5, 0.5, 0.51319736166035, 0.8720393438091378]","[10, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.6121560713001296, 0.5, 0.5, 0.5958497595259723, 0.7936978406458547]","[10, 12, 0, 3, 2, 1, 7, 4, 5, 9, 6, 11, 8]"
"[0.5, 0.02, 0.04, 0.02, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.9798336960454131, 0.5, 0.5, 0.5517284445565384, 0.7495765256764207]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.05, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.6374611015418546, 0.5, 0.6706612370168478, 0.8358982797080352, 0.9645365938061513]","[11, 10, 12, 0, 1, 7, 3, 5, 4, 9, 6, 8, 2]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.9487282965090648, 0.5, 0.6333091736207825, 0.7985462163119701, 0.9271845304100862]","[11, 10, 12, 0, 2, 7, 3, 5, 4, 9, 6, 8, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.5, 0.5586774514519371, 0.5507635608531928, 0.6093240714886088, 0.7157796969103402, 0.8539906318169415]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.08, 0.1, 0.04, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.9474575679910231, 0.7960648284831404, 0.5041099468685024, 0.558458504348182, 0.6691260829256498]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.1, 0.07, 0.1, 0.04, 0.01, 0.06, 0.12, 0.13, 0.07, 0.6666666666666666, 0.6275480385926736, 0.6089600020254693, 0.5875152264534518, 0.6588875729155552, 0.7144539720109424]","[4, 10, 12, 0, 3, 2, 1, 9, 6, 8, 11, 7, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.6666666666666666, 0.9983474534953226, 0.6102768888904757, 0.5430192966651339, 0.5644640722371514, 0.6699580422226245]","[4, 10, 12, 0, 2, 1, 5, 9, 6, 8, 11, 3, 7]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.13, 0.13, 0.07, 0.0, 0.6467626437064004, 0.5, 0.5, 0.5609252773045591, 0.6829850141224415]","[12, 4, 6, 1, 0, 7, 9, 2, 8, 11, 10, 3, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.0, 0.9797092007909972, 0.5, 0.5167597372986711, 0.6327642809836107, 0.6468758313437684]","[12, 4, 5, 6, 1, 0, 7, 2, 8, 11, 10, 3, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.16666666666666666, 0.5738332871263386, 0.5, 0.5, 0.5614693906233696, 0.5755809409835274]","[12, 4, 5, 1, 0, 7, 9, 2, 8, 11, 10, 3, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.14, 0.13, 0.07, 0.16666666666666666, 0.8717081155624934, 0.5, 0.5257244112110311, 0.5398359615711888, 0.6425610375136784]","[12, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.49395492831960536, 0.5, 0.567891419982825, 0.599521645158402, 0.8427123797702006]","[12, 3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.04, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.7948031693314684, 0.5, 0.5317896310614014, 0.5634198562369783, 0.8066105908487771]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.03, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.14, 0.08, 0.5, 0.47596859059801017, 0.5, 0.7248707402967921, 0.823501097007138, 0.8757775688697802]","[10, 12, 0, 3, 2, 1, 4, 5, 9, 6, 8, 11, 7]"
"[0.5, 0.03, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.5, 0.8839441153069553, 0.5, 0.6759136773317187, 0.7651923198676195, 0.8268205059047068]","[10, 3, 6, 5, 1, 9, 7, 2, 8, 12, 4, 0, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.02, 0.06, 0.12, 0.13, 0.08, 0.6666666666666666, 0.557444912678117, 0.5950935816471792, 0.6843722241830801, 0.7460004102201674, 0.8244208518745836]","[10, 3, 5, 6, 1, 7, 2, 9, 8, 11, 12, 4, 0]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.6666666666666666, 0.8935090335600459, 0.705672715714336, 0.5547658871413478, 0.6440445296772487, 0.7840931573687522]","[10, 3, 5, 6, 1, 0, 7, 2, 9, 11, 12, 4, 8]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.0, 0.6233789785710542, 0.5, 0.6140118186180007, 0.7233818632778093, 0.7978133617512322]","[3, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.14, 0.08, 0.0, 0.9114344328524263, 0.5794451641042361, 0.6356048098057363, 0.677543019414934, 0.7632467072374675]","[4, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.16666666666666666, 0.6479506949240204, 0.5891610679663427, 0.5, 0.547222858357145, 0.6748647557888762]","[3, 4, 6, 5, 1, 0, 7, 9, 2, 8, 10, 12, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.13, 0.13, 0.08, 0.3333333333333333, 0.410085307234264, 0.5834086023116469, 0.4977049144891134, 0.6385898525551056, 0.8137847940818937]","[3, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.3333333333333333, 0.7459640025678406, 0.5982844091150764, 0.5431031588716178, 0.6436439095062633, 0.7734793506418646]","[3, 4, 5, 6, 1, 0, 7, 2, 8, 11, 10, 12, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.5, 0.3985598475205734, 0.5653324081119354, 0.5199729077207484, 0.6951678492475366, 0.8716284235858438]","[3, 4, 1, 0, 9, 7, 2, 11, 10, 8, 12, 6, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.5, 0.6748577390972059, 0.6620121022583407, 0.5321766611227394, 0.6710847695344819, 0.8384726765966479]","[3, 4, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.14, 0.13, 0.07, 0.5, 0.9697462330136659, 0.6356981502645067, 0.49679004185276426, 0.6266254829883655, 0.7941609805267035]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.13, 0.13, 0.07, 0.6666666666666666, 0.5799371354398014, 0.7209380722355673, 0.5534025746972293, 0.5624752419733704, 0.6048629707375222]","[12, 3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.6666666666666666, 0.9249273670693583, 0.5634641429419753, 0.5120037469016825, 0.5210764141778236, 0.6795392444400205]","[12, 3, 4, 0, 1, 5, 7, 2, 6, 8, 11, 10, 9]"
"[0.5, 0.02, 0.05, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.0, 0.6170596908039746, 0.895240947559123, 0.5846098700110997, 0.5943901909379565, 0.7382522887013693]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.0, 0.9347112572331753, 0.5464916820395956, 0.5562720029664524, 0.6909981953440729, 0.857122759587619]","[10, 4, 5, 6, 0, 7, 2, 9, 8, 11, 12, 3, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.16666666666666666, 0.5575589942028879, 0.5, 0.4717499536032301, 0.6162564669077074, 0.7823810311512535]","[10, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.14, 0.07, 0.16666666666666666, 0.8590293597817436, 0.5, 0.5800800230382447, 0.6485177194076641, 0.7462045872817907]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.5994917070870542, 0.5, 0.5596622377310269, 0.6479973914307083, 0.7978978463222484]","[12, 3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 10, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.8722284441799578, 0.5, 0.5269338292798784, 0.6152689829795599, 0.7651694378710999]","[12, 3, 4, 0, 1, 5, 7, 2, 9, 8, 11, 10, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.6151517320640778, 0.5, 0.5261181884334656, 0.5891552223799227, 0.6760186433250055]","[12, 3, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.8938735645651832, 0.5, 0.4926715685333329, 0.55570860247979, 0.6425720234248729]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.6026033789970219, 0.5989036054668031, 0.5575244456930523, 0.6340504201037401, 0.8108416556528573]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.8762482933258676, 0.6012130303842786, 0.5246870559735908, 0.5620464173775872, 0.7780042659333958]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.0, 0.6323940366664829, 0.5, 0.6047502363822969, 0.673306016926017, 0.8668896193706133]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.3558447909526876, 0.5, 0.5179361458679523, 0.5823771721749108, 0.7800755288562686]","[4, 10, 12, 0, 2, 7, 1, 5, 3, 9, 8, 6, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.08, 0.16666666666666666, 0.6581346709898147, 0.48166136026349704, 0.5461023865704555, 0.7438007432518134, 0.878538782763153]","[4, 11, 10, 12, 0, 2, 7, 1, 3, 9, 8, 6, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.9449476351692283, 0.5116848308689259, 0.5, 0.7093831875502837, 0.8441212270616234]","[4, 11, 10, 0, 2, 7, 1, 5, 3, 9, 8, 6, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.13, 0.13, 0.07, 0.3333333333333333, 0.5552376917103174, 0.6361483807653531, 0.5, 0.7708864202766926, 0.813518521213955]","[4, 10, 12, 0, 2, 1, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.8985564859493328, 0.6329930073805735, 0.5949501254566713, 0.7296881649680108, 0.7723202659052731]","[12, 3, 4, 0, 1, 5, 7, 2, 6, 8, 11, 10, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.5060322982029296, 0.6994231684348415, 0.5600959099101419, 0.647218446689094, 0.8884243954585509]","[12, 3, 4, 0, 1, 5, 7, 2, 9, 8, 11, 10, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.8307775599175026, 0.8494549640528021, 0.5211264785043932, 0.6082490152833452, 0.6604537370290927]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.6147177093783588, 0.6047426265315516, 0.56638091909379, 0.6797530653873946, 0.7553821461174993]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.6666666666666666, 0.9955935739538594, 0.6340479616383345, 0.52067581534473, 0.5590375227824915, 0.7096770423684393]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 9, 6, 8, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.0, 0.7203136890472402, 0.5, 0.5, 0.6005237656809732, 0.7722901502695823]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.16666666666666666, 0.3672881122392937, 0.5, 0.5228868348979268, 0.6946532194865358, 0.8371766375845618]","[11, 12, 3, 0, 1, 2, 4, 7, 9, 6, 8, 10, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.16666666666666666, 0.6650545445912334, 0.5, 0.6467859981995207, 0.658921247604303, 0.8014446657023291]","[11, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 10, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.07, 0.12, 0.13, 0.07, 0.16666666666666666, 0.9507601702568232, 0.5, 0.6125013231196499, 0.6246365725244323, 0.7671599906224583]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.6011303192085506, 0.546592154650225, 0.5344569052454426, 0.689115572748251, 0.8178448155104706]","[10, 12, 3, 4, 0, 1, 7, 2, 6, 8, 11, 5, 9]"
