,obs,action
20,"[0.5, 0.0, 0.0, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.02, 0.03, 0.02, 0.02, 0.3333333333333333, 0.4036364961461061, 0.5, 0.5434224971872834, 0.5821929606102452, 0.88163196447232]",[ 1 11  0  9  6  2  8 10  7 12  5  4  3]
21,"[0.5, 0.0, 0.0, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.03, 0.02, 0.03, 0.3333333333333333, 0.7848577420879318, 0.4976759476742643, 0.5364464110972261, 0.6642167640964481, 0.8358854149593009]",[ 1 11  0  6  2  8 10  3  7 12  5  4  9]
22,"[0.5, 0.0, 0.0, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.03, 0.02, 0.02, 0.5, 0.4435247626911168, 0.5, 0.5, 0.585176721624066, 0.7568453724869186]",[ 1 11  0  9  6  2  8 10  3  7  5  4 12]
23,"[0.5, 0.0, 0.01, 0.0, 0.04, 0.02, 0.02, 0.02, 0.01, 0.0, 0.01, 0.03, 0.03, 0.02, 0.5, 0.8858313890095246, 0.5, 0.532099926465857, 0.7037685773287098, 0.9241125539542173]",[ 1 11  0  9  2  8  6 10  7  3 12  5  4]
24,"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.02, 0.03, 0.01, 0.0, 0.01, 0.03, 0.03, 0.02, 0.6666666666666666, 0.5302727329381346, 0.8467795926827841, 0.6148971545188152, 0.6375901156516437, 0.9380694072772269]",[ 4  0  9  6  2  8  1 11 10 12  7  5  3]
25,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.02, 0.03, 0.02, 0.01, 0.0, 0.01, 0.03, 0.03, 0.02, 0.6666666666666666, 0.8652414993585941, 0.8978731553067718, 0.57470090254836, 0.5973938636811886, 0.806583340712329]",[ 4  0  9  2  8  1 11 10  3 12  7  5  6]
26,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.02, 0.02, 0.02, 0.01, 0.0, 0.02, 0.03, 0.03, 0.02, 0.0, 0.757632380773804, 0.5, 0.5, 0.5507862495369465, 0.6768617755095948]",[ 4  9  6  2  8 11 10  1  3 12  7  0  5]
27,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.05, 0.03, 0.02, 0.16666666666666666, 0.45075262302479285, 0.5, 0.4676118204668279, 0.5, 0.5936873464394762]",[ 4  6  2  8 11 10  1  3 12  7  5  0  9]
28,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.02, 0.01, 0.0, 0.01, 0.04, 0.03, 0.02, 0.16666666666666666, 0.7782742337551412, 0.5, 0.5543847531518344, 0.6817331630556407, 0.9606974067123581]",[ 6  9 11  2  3  8  1  4 12  5  7  0 10]
29,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.05, 0.03, 0.02, 0.3333333333333333, 0.4480137542869708, 0.5, 0.6013644205918212, 0.8687902027100773, 0.8968206066486067]",[ 6  9 11  2  8  1  4 12  5  7  0 10  3]
